"Sp","Order","diet_hoc","wild_status_reseq","IUCN","threatened","harm_mean_wt2","gw_het_mean","outbred_het_mode","froh","ppn_conserved","phylop_kurtosis","ppn_miss_conserved","het_miss_impc_L","het_miss_impc_V","het_lof_impc_L","het_lof_impc_V","hom_miss_impc_L","hom_miss_impc_V"
"Echinops_telfairi","AFROSORICIDA","Carnivore","captive","LC",0,6.4478241134,0.00350463,0.004,0.1761353849,0.0482176059,17.1117738674,0.100720041,0.3123993559,0.3551244201,0.0088566828,0.0025337838,0.2548870513,0.3309348915
"Eidolon_helvum","CHIROPTERA","Herbivore","wild","NT",1,6.4080800038,0.00589309,0.0025,0.0160760749,0.0307942179,21.8099769213,0.086946057,0.2074198988,0.2804399057,0.0016891892,0.0039277298,0.2487140696,0.3403353849
"Elaphurus_davidianus","CETARTIODACTYLA","Herbivore","captive","CR",1,1.9384958694,0.00129031,0.0006,0.4999763329,0.0262651284,27.0498441237,0.05946389,0.3636363636,0.3279022403,0.003030303,0.0020366599,0.2158731751,0.296968289
"Elephantulus_edwardii","MACROSCELIDEA","Carnivore","wild","LC",0,11.4058993785,0.00322691,0.002,0.1166180601,0.0409397535,26.7974831452,0.072700495,"NA","NA","NA","NA",0.2455003183,0.2867595445
"Ellobius_lutescens","RODENTIA","Herbivore","captive","LC",0,8.591954956,0.007153413,0.0017,0.1722605537,0.0449849947,19.3014020579,0.123120745,0.462295082,0.4932432432,0.0165016502,0.0101351351,0.271829984,0.3653354956
"Ellobius_talpinus","RODENTIA","Herbivore","captive","LC",0,6.272204128,0.00161171,0.0006,0.2226606833,0.0433924499,20.1432441633,0.123472754,0.4032258065,0.3709677419,0.0053763441,0.002688172,0.3065706254,0.3600767482
"Enhydra_lutris","CARNIVORA","Carnivore","wild","EN",1,0.3831371865,0.00063031,0.0006,0.5130107356,0.0325975334,22.8465034312,0.082342341,0.3351955307,0.4380165289,0.0055865922,0,0.2281715678,0.3076209111
"Eptesicus_fuscus","CHIROPTERA","Carnivore","wild","LC",0,"NA","NA","NA","NA",0.0278998653,24.7646575893,0.060751575,"NA","NA","NA","NA",0.2309856273,0.3032928502
"Equus_asinus","PERISSODACTYLA","Herbivore","domestic","LC",0,1.4465897955,0.00202603,0.0016,0.0399119003,0.0309465939,22.9914350858,0.093246618,0.3070652174,0.4287812041,0,0.0044052863,0.2798537128,0.3347714147
"Equus_caballus","PERISSODACTYLA","Herbivore","domestic","LC",0,3.2789970646,0.007068018,0.00175,0.0033617369,0.0392958153,21.9171602602,0.150997151,0.3537832311,0.4382433669,0.0020449898,0,0.3401253918,0.4234592445
"Equus_przewalskii","PERISSODACTYLA","Herbivore","captive","EN",1,2.8161463737,0.00254939,0.0015,0.0609522368,0.0401447854,21.9107016208,0.174700474,0.364628821,0.394047619,0,0.0035756853,0.3853354134,0.4338662791
"Erinaceus_europaeus","EULIPOTYPHLA","Omnivore","NA","LC",0,"NA","NA","NA","NA",0.0405742508,20.4205888685,0.085430436,"NA","NA","NA","NA",0.2487372375,0.3197344821
"Erythrocebus_patas","PRIMATES","Omnivore","captive","NT",1,1.2083524373,0.00205865,0.0018,0.0500408663,0.030678743,23.6309871371,0.085898281,0.3146341463,0.3794642857,0.0073170732,0.0017857143,0.2512671977,0.3404881639
"Eschrichtius_robustus","CETARTIODACTYLA","Carnivore","wild","LC",0,0.1850868874,0.00073898,0.0006,0.3146489962,0.0362676744,22.6429026369,0.124445,0.4088888889,0.4247572816,0.0133333333,0,0.3063822158,0.3969803136
"Eubalaena_japonica","CETARTIODACTYLA","Carnivore","wild","EN",1,0.6276570261,0.00191839,0.001,0.1924596276,0.036158923,23.0159894275,0.122354795,0.3556231003,0.4069319641,0,0.0051413882,0.3274853801,0.3965874661
"Eulemur_flavifrons","PRIMATES","Herbivore","captive","CR",1,3.388752971,0.00208996,0.0012,0.1637606355,0.0297092255,23.395419099,0.077248575,0.3095512083,0.3715395823,0.001150748,0.0038872692,0.2434049497,0.2965964344
"Eulemur_fulvus","PRIMATES","Herbivore","captive","VU",1,3.661750197,0.00668578,0.0063,0.01095415,0.0262716246,26.0076354649,0.068173375,0.2680652681,0.2987234043,0.0011655012,0.0008510638,0.253968254,0.2973503435
"Felis_catus","CARNIVORA","Carnivore","domestic","LC",0,2.8062152605,0.00192689,0.0041,0.5760585569,0.0231476287,29.1395252708,0.057942781,"NA","NA","NA","NA",0.2051532942,0.294155739
